"대여소 번호","거치대","위도","경도","고도 표준편차(1km)"
"550.0","15.0","37.57164","127.03566000000001","116.58312377759151"
"551.0","10.0","37.540062","127.094498","124.59613259668508"
"552.0","10.0","37.536578999999996","127.092972","124.11668965517241"
"553.0","10.0","37.571255","127.079803","123.3750695603784"
"555.0","10.0","37.537849","127.092171","124.06951724137932"
"556.0","20.0","37.542053","127.020401","113.5973377703827"
"557.0","10.0","37.567642","127.025696","114.91930996104618"
"558.0","20.0","37.564606","127.03652199999999","116.5726638772664"
"559.0","10.0","37.561096","127.03679699999999","116.74658869395712"
"560.0","8.0","37.551204999999996","127.068932","121.14206283013623"
"561.0","10.0","37.542815999999995","127.04467","117.036985923268"
"562.0","10.0","37.559246","127.07341000000001","121.83240689271818"
"563.0","10.0","37.547913","127.062752","120.16689769891877"
"564.0","15.0","37.547928000000006","127.01557199999999","113.09378468368479"
"565.0","20.0","37.541363","127.01766200000002","113.19390581717451"
"567.0","15.0","37.54459","127.057083","119.15199335548172"
"568.0","10.0","37.571102","127.02356","114.63426183844011"
"569.0","10.0","37.549583","127.030243","115.34619655746808"
"571.0","20.0","37.548496","127.07476000000001","121.77136514983351"
"572.0","20.0","37.565536","127.0867","124.34802007808143"
"573.0","10.0","37.545231","127.084732","123.06246529705719"
"574.0","20.0","37.551849","127.088982","124.08025548458761"
"575.0","10.0","37.564293","127.086937","124.31939799331104"
"576.0","10.0","37.54483","127.10426299999999","126.25310859353412"
"577.0","10.0","37.546547","127.10613300000001","126.82265193370166"
"578.0","8.0","37.548286","127.06208799999999","120.01218161683278"
"579.0","8.0","37.565205","127.041847","117.48062447727906"
"580.0","6.0","37.554390000000005","127.020149","114.06481223922114"
"581.0","13.0","37.561012","127.05423700000001","119.05859483476812"
"582.0","10.0","37.543178999999995","127.04908","117.82099447513812"
"583.0","20.0","37.56797","127.04688999999999","118.20736812726766"
"584.0","20.0","37.547829","127.07263200000001","121.48416666666667"
"585.0","9.0","37.536808","127.055489","118.83993353641651"
"586.0","10.0","37.565940999999995","127.045395","118.0797323668804"
"587.0","10.0","37.545418","127.05264299999999","118.39116022099448"
"588.0","15.0","37.532688","127.067497","120.19308437067774"
"589.0","8.0","37.544159","127.056656","119.08605423353625"
"590.0","10.0","37.540089","127.073746","121.38670360110804"
"591.0","5.0","37.542778000000006","127.07537099999999","121.56469936270435"
"592.0","15.0","37.541763","127.07843000000001","121.78523862375138"
"593.0","5.0","37.528587","127.077873","121.49931072511718"
"594.0","15.0","37.558365","127.056908","119.40233074361821"
"600.0","10.0","37.589912","127.06868","122.03070422535211"
"601.0","10.0","37.575947","127.037361","116.97313182199832"
"602.0","10.0","37.572174","127.07138799999998","121.83170799665645"
"604.0","15.0","37.569656","127.05596200000001","119.78311906092789"
"605.0","8.0","37.5742","127.02649699999999","115.19843706391292"
"606.0","6.0","37.584625","127.07028999999999","122.07331460674158"
"607.0","10.0","37.602711","127.06786299999999","122.8606627017842"
